method,method_key,target_coverage,coverage,mean_bound,median_utilization,p90_utilization,max_utilization,mean_value_gap,calibration_multiplier
Global max,global,0.8,0.85,0.05968735364119526,0.34724264716697484,1.1375222580692068,6.4812775511222105,0.034335990910888854,0.0015504758055828274
Local recursion,local,0.8,0.8375,0.05581406927000491,0.501789540533295,1.228089692288209,3.414823792443399,0.034335990910888854,0.007694774723023288
Adjoint support,adjoint,0.8,0.8625,0.15766322040060143,0.34186675637602204,1.1020204912195135,2.279470491630141,0.034335990910888854,0.09757243770838017
Adjoint + curvature,adjoint_curvature,0.8,0.8625,0.15766322040060143,0.34186675637602204,1.1020204912195135,2.279470491630141,0.034335990910888854,0.09757243770838017
Global max,global,0.85,0.9,0.06797033804419605,0.3049270501977413,0.9989018040186914,5.691457720705044,0.034335990910888854,0.0017656397579348532
Local recursion,local,0.85,0.8625,0.06466081035699744,0.43313586729985076,1.060065328236879,2.9476155749364334,0.034335990910888854,0.008914425620864298
Adjoint support,adjoint,0.85,0.90625,0.18345052373400192,0.29381117404878426,0.9471114939145718,1.9590495093906273,0.034335990910888854,0.11353132806830162
Adjoint + curvature,adjoint_curvature,0.85,0.90625,0.18345052373400192,0.29381117404878426,0.9471114939145718,1.9590495093906273,0.034335990910888854,0.11353132806830162
Global max,global,0.9,0.9375,0.0987066784423616,0.20997560659345532,0.6878530851562844,3.9191907918010562,0.034335990910888854,0.0025640660447826978
Local recursion,local,0.9,0.94375,0.08703526402082228,0.32178814517744103,0.7875507005844723,2.1898619351657143,0.034335990910888854,0.011999066872534853
Adjoint support,adjoint,0.9,0.925,0.20345163000526592,0.26492692025498343,0.8540020032703798,1.7664575039740313,0.034335990910888854,0.1259093366538991
Adjoint + curvature,adjoint_curvature,0.9,0.925,0.20345163000526592,0.26492692025498343,0.8540020032703798,1.7664575039740313,0.034335990910888854,0.1259093366538991
Global max,global,0.925,0.975,0.1615628301678189,0.12828442445104155,0.42024327762507613,2.394426396459764,0.034335990910888854,0.004196856519431948
Local recursion,local,0.925,0.95,0.09426573527132935,0.297106006691357,0.7271431444082816,2.02189280280579,0.034335990910888854,0.012995891654200582
Adjoint support,adjoint,0.925,0.925,0.21035917152272238,0.2562275434343464,0.8259592312301602,1.708452528677743,0.034335990910888854,0.1301841806074703
Adjoint + curvature,adjoint_curvature,0.925,0.925,0.21035917152272238,0.2562275434343464,0.8259592312301602,1.708452528677743,0.034335990910888854,0.1301841806074703
Global max,global,0.95,0.975,0.16380572704864882,0.12652790017900034,0.41448912999203824,2.36164090359112,0.034335990910888854,0.004255119403208786
Local recursion,local,0.95,0.96875,0.10456418535436977,0.26784425354984936,0.6555273483253755,1.8227580605191573,0.034335990910888854,0.014415681582111881
Adjoint support,adjoint,0.95,0.925,0.2104497554970052,0.2561172553080895,0.8256037132606397,1.707717158757471,0.034335990910888854,0.13024023996719686
Adjoint + curvature,adjoint_curvature,0.95,0.925,0.2104497554970052,0.2561172553080895,0.8256037132606397,1.707717158757471,0.034335990910888854,0.13024023996719686
