epoch,train_mse,validation_mse
1,0.42711530402302744,0.16280601705823625
2,0.13929367631673814,0.1405919258083616
3,0.13410745538771152,0.1392961676631655
4,0.13244601979851722,0.13682134875229426
5,0.12780892565846444,0.12819762527942657
6,0.10735535122454166,0.08932391021932874
7,0.0731841577589512,0.06848566606640816
8,0.05854475598782301,0.058250446404729574
9,0.048570772223174574,0.049312869885138104
10,0.04063226524740458,0.04221221245825291
11,0.03569830993190408,0.03838340379297733
12,0.03254109315574169,0.035794373601675034
13,0.03035256117582321,0.03398531888212476
14,0.02886772632598877,0.03280515410006046
15,0.02779130471870303,0.03173786561403956
16,0.027033942248672248,0.031141616936240877
17,0.026526445001363756,0.03080955200961658
18,0.026224050130695106,0.030570333025285175
19,0.026052370294928552,0.030472399666905403
20,0.025974547024816275,0.030449821214590753
