epsilon,gamma,dynamics_lipschitz,reward_lipschitz,simulated_value_gap,exact_fixed_policy_bound,optimal_policy_bound,simulation_to_exact_ratio,normalized_gamma_gap
0.0001,0.8,0.8,1.0,0.0011111111111111115,0.001111111111111112,0.002222222222222224,0.9999999999999996,13.888888888888898
0.0001,0.9,0.8,1.0,0.003214285714285716,0.003214285714285716,0.006428571428571432,1.0,35.71428571428573
0.0001,0.95,0.8,1.0,0.00791666666666666,0.00791666666666666,0.01583333333333332,1.0,83.33333333333326
0.0001,0.97,0.8,1.0,0.0144345238095238,0.014434523809523798,0.028869047619047596,1.0000000000000002,148.80952380952368
0.0001,0.98,0.8,1.0,0.02268518518518517,0.022685185185185166,0.04537037037037033,1.0000000000000002,231.4814814814813
0.0001,0.99,0.8,1.0,0.0475961538461538,0.047596153846153816,0.09519230769230763,0.9999999999999997,480.76923076923043
0.0003,0.8,0.8,1.0,0.003333333333333335,0.0033333333333333353,0.0066666666666666706,0.9999999999999999,13.888888888888898
0.0003,0.9,0.8,1.0,0.009642857142857144,0.009642857142857147,0.019285714285714295,0.9999999999999997,35.71428571428573
0.0003,0.95,0.8,1.0,0.023749999999999973,0.02374999999999998,0.04749999999999996,0.9999999999999997,83.33333333333326
0.0003,0.97,0.8,1.0,0.04330357142857138,0.043303571428571386,0.08660714285714277,0.9999999999999999,148.80952380952368
0.0003,0.98,0.8,1.0,0.0680555555555555,0.0680555555555555,0.136111111111111,1.0,231.48148148148127
0.0003,0.99,0.8,1.0,0.14278846153846136,0.14278846153846142,0.28557692307692284,0.9999999999999996,480.76923076923043
0.001,0.8,0.8,1.0,0.011111111111111118,0.011111111111111118,0.022222222222222237,1.0,13.888888888888898
0.001,0.9,0.8,1.0,0.032142857142857154,0.03214285714285716,0.06428571428571432,0.9999999999999998,35.71428571428573
0.001,0.95,0.8,1.0,0.07916666666666658,0.0791666666666666,0.1583333333333332,0.9999999999999998,83.33333333333326
0.001,0.97,0.8,1.0,0.14434523809523797,0.14434523809523797,0.28869047619047594,1.0,148.80952380952368
0.001,0.98,0.8,1.0,0.22685185185185164,0.22685185185185167,0.45370370370370333,0.9999999999999999,231.4814814814813
0.001,0.99,0.8,1.0,0.475961538461538,0.4759615384615381,0.9519230769230762,0.9999999999999998,480.76923076923043
0.003,0.8,0.8,1.0,0.03333333333333335,0.03333333333333336,0.06666666666666672,0.9999999999999996,13.888888888888898
0.003,0.9,0.8,1.0,0.09642857142857146,0.09642857142857147,0.19285714285714295,0.9999999999999999,35.71428571428573
0.003,0.95,0.8,1.0,0.2374999999999998,0.2374999999999998,0.4749999999999996,1.0,83.33333333333326
0.003,0.97,0.8,1.0,0.43303571428571386,0.4330357142857139,0.8660714285714278,0.9999999999999999,148.80952380952368
0.003,0.98,0.8,1.0,0.680555555555555,0.680555555555555,1.36111111111111,1.0,231.4814814814813
0.003,0.99,0.8,1.0,1.427884615384614,1.4278846153846143,2.8557692307692286,0.9999999999999999,480.76923076923043
0.01,0.8,0.8,1.0,0.11111111111111119,0.11111111111111119,0.22222222222222238,1.0,13.888888888888898
0.01,0.9,0.8,1.0,0.3214285714285716,0.3214285714285716,0.6428571428571432,1.0,35.71428571428573
0.01,0.95,0.8,1.0,0.7916666666666661,0.791666666666666,1.583333333333332,1.0000000000000002,83.33333333333326
0.01,0.97,0.8,1.0,1.44345238095238,1.4434523809523798,2.8869047619047596,1.0000000000000002,148.80952380952368
0.01,0.98,0.8,1.0,2.2685185185185173,2.2685185185185164,4.537037037037033,1.0000000000000004,231.48148148148127
0.01,0.99,0.8,1.0,4.759615384615381,4.7596153846153815,9.519230769230763,0.9999999999999998,480.76923076923043
0.03,0.8,0.8,1.0,0.3333333333333335,0.33333333333333354,0.6666666666666671,0.9999999999999999,13.888888888888896
0.03,0.9,0.8,1.0,0.9642857142857147,0.9642857142857147,1.9285714285714295,1.0,35.71428571428573
0.03,0.95,0.8,1.0,2.3749999999999973,2.374999999999998,4.749999999999996,0.9999999999999998,83.33333333333326
0.03,0.97,0.8,1.0,4.330357142857139,4.330357142857139,8.660714285714278,1.0,148.80952380952368
