epsilon,case,step,state_error,error_envelope,empirical_dynamics_lipschitz
0.0005,0,0,0.0,0.0,1.0024056115455204
0.0005,0,1,0.0005000000000000015,0.0005,1.0024056115455204
0.0005,0,2,0.0009951540663360008,0.0010012028057727602,1.0024056115455204
0.0005,0,3,0.0014860656911833176,0.0015036113108017346,1.0024056115455204
0.0005,0,4,0.0019732873397958254,0.0020072284155309744,1.0024056115455204
0.0005,0,5,0.0024573262207666776,0.0025120570273818726,1.0024056115455204
0.0005,0,6,0.00293905120130353,0.0030181000607699482,1.0024056115455204
0.0005,0,7,0.003418731882491247,0.003525360437121672,1.0024056115455204
0.0005,0,8,0.0038966948432064908,0.004033841084891333,1.0024056115455204
0.0005,0,9,0.00437327214208748,0.004543544939577943,1.0024056115455204
0.0005,0,10,0.004849421573120976,0.005054474943742183,1.0024056115455204
0.0005,0,11,0.005325502111386414,0.005566634047023393,1.0024056115455204
0.0005,0,12,0.005801158174560627,0.0060800252061566,1.0024056115455204
0.0005,0,13,0.006276644622452267,0.006594651384989585,1.0024056115455204
0.0005,0,14,0.006753533995254616,0.007110515554499999,1.0024056115455204
0.0005,0,15,0.007230735141434559,0.007627620692812507,1.0024056115455204
0.0005,0,16,0.007708257232522375,0.008145969785215987,1.0024056115455204
0.0005,0,17,0.008188052617906331,0.008665565824180764,1.0024056115455204
0.0005,0,18,0.008668973167611348,0.00918641180937588,1.0024056115455204
0.0005,0,19,0.009151456009020089,0.009708510747686422,1.0024056115455204
0.0005,0,20,0.009636247768779693,0.010231865653230865,1.0024056115455204
0.0005,0,21,0.010121970298879016,0.01075647954737849,1.0024056115455204
0.0005,0,22,0.010609502650326001,0.011282355458766819,1.0024056115455204
0.0005,0,23,0.011098572682684197,0.011809496423319094,1.0024056115455204
0.0005,0,24,0.011589593827617936,0.012337905484261813,1.0024056115455204
0.0005,0,25,0.012082779408661209,0.012867585692142294,1.0024056115455204
0.0005,0,26,0.012577683488815997,0.013398540104846285,1.0024056115455204
0.0005,0,27,0.013074125010493737,0.013930771787615622,1.0024056115455204
0.0005,0,28,0.0135713221743668,0.014464283813065922,1.0024056115455204
0.0005,0,29,0.014068683535253897,0.014999079261204317,1.0024056115455204
0.0005,0,30,0.014566463643671361,0.015535161219447247,1.0024056115455204
0.0005,0,31,0.015064865296589515,0.01607253278263827,1.0024056115455204
0.0005,0,32,0.015563741950453474,0.01661119705306594,1.0024056115455204
0.0005,0,33,0.016062875129526435,0.017151157140481713,1.0024056115455204
0.0005,0,34,0.016561743406168478,0.01769241616211789,1.0024056115455204
0.0005,0,35,0.017059616791075143,0.018234977242705636,1.0024056115455204
0.0005,0,36,0.017556391784604667,0.018778843514492993,1.0024056115455204
0.0005,0,37,0.01805221423620866,0.01932401811726298,1.0024056115455204
0.0005,0,38,0.018546661849817576,0.019870504198351714,1.0024056115455204
0.0005,0,39,0.019039645858286127,0.020418304912666583,1.0024056115455204
0.0005,0,40,0.019531118582978412,0.02096742342270445,1.0024056115455204
0.0005,1,0,0.0,0.0,0.9955663756982278
0.0005,1,1,0.0005000000000000051,0.0005,0.9955663756982278
0.0005,1,2,0.0009968118453158952,0.0009977831878491138,0.9955663756982278
0.0005,1,3,0.001490586359071277,0.0014933593920595663,0.9955663756982278
0.0005,1,4,0.00198144112987655,0.0019867383975676516,0.9955663756982278
0.0005,1,5,0.0024694699749221675,0.0024779299459269316,0.9955663756982278
0.0005,1,6,0.002954748127730717,0.002966943735500581,0.9955663756982278
0.0005,1,7,0.003437332919260411,0.003453789421652875,0.9955663756982278
0.0005,1,8,0.00391727904160516,0.003938476616939831,0.9955663756982278
0.0005,1,9,0.004394661213915456,0.004421014891299004,0.9955663756982278
0.0005,1,10,0.0048695181374518014,0.004901413772238444,0.9955663756982278
0.0005,1,11,0.005341912349859949,0.005379682745024806,0.9955663756982278
0.0005,1,12,0.0058119372645753075,0.00585583125287064,0.9955663756982278
0.0005,1,13,0.006279626887674573,0.006329868697120836,0.9955663756982278
0.0005,1,14,0.00674495165670381,0.006801804437438254,0.9955663756982278
0.0005,1,15,0.007207845108436084,0.007271647791988526,0.9955663756982278
0.0005,1,16,0.007668249313504023,0.007739408037624037,0.9955663756982278
0.0005,1,17,0.00812612866860656,0.008205094410067096,0.9955663756982278
0.0005,1,18,0.008581413130906072,0.008668716104092289,0.9955663756982278
0.0005,1,19,0.009034103787155284,0.009130282273708022,0.9955663756982278
0.0005,1,20,0.009484257212448943,0.00958980203233727,0.9955663756982278
0.0005,1,21,0.00993186838424427,0.010047284452997515,0.9955663756982278
0.0005,1,22,0.010376885977006084,0.010502738568479887,0.9955663756982278
0.0005,1,23,0.010819346460781991,0.010956173371527515,0.9955663756982278
0.0005,1,24,0.011259410571160405,0.011407597815013082,0.9955663756982278
0.0005,1,25,0.011697160643484908,0.011857020812115596,0.9955663756982278
0.0005,1,26,0.01213254957130664,0.012304451236496382,0.9955663756982278
0.0005,1,27,0.012565574643929605,0.012749897922474282,0.9955663756982278
0.0005,1,28,0.01299618781969089,0.013193369665200086,0.9955663756982278
0.0005,1,29,0.013424155967470286,0.013634875220830192,0.9955663756982278
0.0005,1,30,0.013849538230046284,0.014074423306699488,0.9955663756982278
0.0005,1,31,0.01427267897828923,0.014512022601493476,0.9955663756982278
0.0005,1,32,0.014693621924666089,0.014947681745419628,0.9955663756982278
0.0005,1,33,0.015112230032156079,0.01538140934037798,0.9955663756982278
